Farm ID,Soil Type,Soil pH,Organic Matter (%),Nitrogen Level (ppm),Phosphorus Level (ppm),Potassium Level (ppm),Temperature (°C),Rainfall (mm),Crop Recommended
1,Clayey,6.8,3.0,18,15,27,30,778,Sugarcane
2,Loamy,7.4,1.6,21,20,25,26,807,Mustard
3,Clayey,6.7,1.8,29,14,27,29,891,Cotton
4,Clayey,7.4,2.1,26,20,34,30,887,Bajra
5,Clayey,6.0,2.2,26,12,32,25,771,Cotton
6,Clayey,6.7,2.7,20,14,30,30,781,Wheat
7,Clayey,6.7,3.5,27,18,30,28,722,Sugarcane
8,Clayey,6.7,3.3,20,11,28,25,737,Cotton
9,Loamy,6.4,3.0,28,12,34,26,808,Sugarcane
10,Clayey,6.3,3.0,30,10,35,29,873,Bajra
11,Sandy,6.5,3.3,20,11,35,29,869,Wheat
12,Sandy,6.5,2.7,23,18,32,27,772,Cotton
13,Clayey,7.4,1.6,21,18,32,28,828,Cotton
14,Loamy,6.4,2.2,22,15,30,26,877,Bajra
15,Loamy,6.1,2.9,27,10,34,26,822,Bajra
16,Loamy,6.9,3.2,30,15,27,27,809,Bajra
17,Sandy,6.1,1.9,29,17,29,30,814,Bajra
18,Clayey,7.2,1.8,21,12,34,26,846,Wheat
19,Sandy,6.2,2.2,20,18,34,27,834,Wheat
20,Clayey,7.4,2.9,18,15,32,28,897,Bajra
21,Sandy,7.0,1.9,19,19,33,29,844,Rice
22,Sandy,7.4,2.5,24,18,25,28,806,Mustard
23,Clayey,6.9,2.0,20,16,35,28,825,Wheat
24,Clayey,7.2,3.3,23,18,25,30,867,Rice
25,Loamy,6.8,1.9,21,10,33,28,749,Mustard
26,Sandy,6.9,1.7,21,20,28,25,770,Mustard
27,Sandy,6.1,3.3,18,15,27,29,807,Sugarcane
28,Loamy,6.3,2.5,18,19,31,27,843,Bajra
29,Loamy,7.2,2.9,21,20,30,25,791,Cotton
30,Loamy,6.8,3.5,25,14,31,26,714,Bajra
31,Loamy,6.3,2.5,25,17,31,25,856,Mustard
32,Clayey,6.2,2.9,30,12,26,26,807,Cotton
33,Sandy,6.2,2.5,28,20,29,26,758,Cotton
34,Loamy,6.3,3.1,21,14,25,28,785,Mustard
35,Loamy,6.3,1.6,19,14,34,26,769,Sugarcane
36,Clayey,6.8,2.3,21,13,31,27,892,Cotton
37,Clayey,6.4,2.3,21,20,35,25,772,Wheat
38,Clayey,6.3,2.4,23,10,30,29,772,Bajra
39,Sandy,6.4,1.6,18,14,35,25,887,Sugarcane
40,Clayey,6.6,3.0,19,13,34,30,861,Wheat
41,Clayey,7.4,2.3,23,11,30,28,724,Rice
42,Sandy,7.2,2.4,27,20,29,30,781,Mustard
43,Loamy,7.1,2.3,19,12,26,26,832,Bajra
44,Clayey,7.3,3.4,24,10,32,25,813,Mustard
45,Clayey,7.0,2.6,25,19,32,25,849,Cotton
46,Clayey,6.9,2.8,27,10,27,26,824,Cotton
47,Sandy,6.3,2.5,22,20,26,27,825,Rice
48,Sandy,6.4,2.3,24,14,32,30,803,Mustard
49,Clayey,6.8,2.0,27,16,33,25,707,Wheat
50,Sandy,7.3,3.2,20,12,33,26,867,Rice
51,Clayey,6.0,2.7,22,12,29,25,877,Wheat
52,Clayey,6.3,3.1,24,10,27,29,778,Mustard
53,Clayey,6.3,2.1,19,14,29,28,784,Mustard
54,Clayey,6.7,2.9,26,15,32,26,867,Mustard
55,Clayey,6.4,1.6,21,15,25,30,856,Rice
56,Loamy,7.4,3.4,28,17,27,29,748,Sugarcane
57,Loamy,6.9,3.0,18,13,26,30,839,Bajra
58,Sandy,7.0,1.8,28,20,32,25,756,Sugarcane
59,Loamy,7.1,3.3,27,14,27,29,838,Cotton
60,Loamy,6.5,2.4,25,14,33,26,799,Mustard
61,Sandy,6.0,2.2,21,10,26,27,724,Bajra
62,Clayey,7.3,2.0,26,18,33,30,854,Rice
63,Clayey,6.9,3.1,18,20,31,28,729,Rice
64,Loamy,6.3,3.4,24,10,33,25,781,Cotton
65,Loamy,6.7,2.5,23,12,31,30,898,Bajra
66,Clayey,7.3,1.8,29,17,29,30,839,Wheat
67,Sandy,6.2,2.3,25,14,27,26,771,Sugarcane
68,Clayey,6.9,3.0,27,18,29,25,734,Wheat
69,Loamy,7.2,3.0,18,13,27,29,825,Cotton
70,Sandy,6.1,2.4,30,14,30,29,720,Mustard
71,Clayey,6.9,3.1,28,14,30,26,873,Rice
72,Sandy,7.2,2.1,24,19,30,28,825,Sugarcane
73,Sandy,7.4,2.8,22,13,34,26,817,Sugarcane
74,Loamy,6.5,1.5,25,18,31,29,728,Mustard
75,Loamy,6.3,1.5,18,11,34,27,821,Sugarcane
76,Clayey,6.1,2.9,28,19,27,26,803,Bajra
77,Clayey,6.8,3.3,26,13,29,29,759,Wheat
78,Loamy,7.3,2.2,22,19,25,29,839,Sugarcane
79,Clayey,6.5,2.7,19,10,31,28,830,Mustard
80,Loamy,6.1,2.5,21,20,30,30,847,Cotton
81,Clayey,6.3,3.2,26,15,26,26,709,Cotton
82,Clayey,6.2,3.3,24,16,32,29,792,Mustard
83,Sandy,6.9,2.5,28,10,27,28,849,Wheat
84,Clayey,6.4,2.8,30,18,33,30,852,Bajra
85,Sandy,6.6,1.8,29,20,31,26,769,Rice
86,Sandy,6.4,2.8,27,20,28,29,843,Wheat
87,Sandy,7.1,3.1,18,20,35,28,841,Cotton
88,Sandy,6.2,2.4,25,15,25,30,833,Wheat
89,Sandy,6.3,2.1,26,11,28,28,759,Bajra
90,Clayey,6.6,2.6,20,20,30,25,764,Sugarcane
91,Loamy,6.1,2.8,26,12,35,27,700,Bajra
92,Sandy,6.2,2.1,18,11,35,25,783,Rice
93,Loamy,7.0,2.6,21,18,27,28,769,Sugarcane
94,Loamy,6.3,2.4,27,20,32,29,795,Mustard
95,Loamy,7.0,2.6,22,17,25,29,702,Rice
96,Sandy,7.3,2.2,23,16,26,29,778,Mustard
97,Sandy,6.6,3.0,19,11,32,25,774,Mustard
98,Loamy,6.0,2.3,27,16,31,28,730,Mustard
99,Sandy,7.0,3.1,18,19,30,25,731,Mustard
100,Sandy,6.8,2.8,30,11,26,27,746,Rice
101,Clayey,7.1,1.8,22,19,26,29,716,Rice
102,Sandy,6.9,2.8,29,19,32,30,785,Bajra
103,Loamy,6.6,2.1,19,18,29,27,829,Sugarcane
104,Loamy,6.3,2.7,24,15,27,30,782,Rice
105,Sandy,6.1,1.8,26,20,29,27,779,Sugarcane
106,Loamy,6.3,1.9,29,17,32,25,849,Cotton
107,Sandy,7.1,2.5,22,20,26,26,802,Rice
108,Clayey,6.8,1.6,18,13,28,30,711,Bajra
109,Clayey,7.2,3.1,19,11,27,27,734,Cotton
110,Sandy,6.9,2.7,25,15,32,30,773,Mustard
111,Clayey,6.4,2.3,20,17,27,25,827,Wheat
112,Clayey,6.1,3.1,18,20,33,27,815,Wheat
113,Loamy,7.3,2.1,30,16,25,29,853,Rice
114,Clayey,6.7,1.8,27,13,35,30,870,Mustard
115,Sandy,7.4,1.7,18,15,33,29,747,Cotton
116,Sandy,7.2,3.3,27,17,30,29,738,Cotton
117,Clayey,7.3,2.6,27,15,29,27,858,Sugarcane
118,Loamy,7.1,2.2,24,16,25,26,783,Wheat
119,Sandy,7.0,2.3,23,18,34,27,781,Cotton
120,Clayey,7.3,3.0,25,13,30,27,873,Bajra
121,Sandy,6.2,2.7,18,12,31,25,796,Mustard
122,Sandy,7.5,1.9,27,14,30,28,718,Rice
123,Sandy,6.8,1.7,29,19,31,25,753,Mustard
124,Loamy,6.0,2.2,19,12,30,26,754,Cotton
125,Sandy,6.7,2.6,26,18,33,26,858,Bajra
126,Sandy,7.1,2.4,24,19,25,25,866,Bajra
127,Clayey,6.6,1.8,30,11,26,26,788,Bajra
128,Sandy,6.0,1.9,23,14,32,30,871,Sugarcane
129,Clayey,6.5,3.4,28,11,29,30,719,Rice
130,Clayey,7.4,3.1,29,12,34,25,837,Mustard
131,Loamy,6.6,2.0,25,15,27,30,729,Rice
132,Clayey,7.3,3.2,18,19,28,30,797,Bajra
133,Clayey,6.6,3.4,26,17,32,28,777,Rice
134,Loamy,7.4,2.3,24,20,34,28,878,Rice
135,Sandy,6.7,3.3,21,15,27,30,706,Rice
136,Clayey,6.3,3.2,23,13,27,30,777,Cotton
137,Clayey,6.1,2.7,26,13,27,27,872,Bajra
138,Sandy,6.6,2.3,26,10,32,26,865,Bajra
139,Sandy,7.0,3.1,30,20,30,30,878,Rice
140,Clayey,6.9,3.3,20,18,29,29,894,Rice
141,Clayey,6.9,1.6,19,15,26,27,899,Wheat
142,Clayey,6.3,2.8,24,10,31,28,739,Rice
143,Loamy,6.4,3.3,28,20,33,28,796,Sugarcane
144,Clayey,6.9,2.6,23,20,25,25,738,Sugarcane
145,Sandy,6.5,1.5,28,19,26,26,848,Bajra
146,Clayey,6.8,3.0,19,11,30,29,786,Mustard
147,Sandy,7.3,2.9,23,10,25,27,732,Mustard
148,Clayey,6.8,3.0,23,15,26,26,806,Rice
149,Loamy,7.3,2.7,24,10,33,27,730,Bajra
150,Sandy,6.2,3.2,30,14,28,29,886,Sugarcane
151,Loamy,6.6,2.7,27,19,28,29,833,Cotton
152,Sandy,7.2,2.7,28,10,31,28,842,Rice
153,Clayey,7.5,1.7,21,19,25,28,781,Sugarcane
154,Sandy,6.6,2.6,29,16,26,26,849,Bajra
155,Clayey,7.0,2.9,25,12,32,26,803,Mustard
156,Sandy,6.2,1.8,23,16,32,25,725,Sugarcane
157,Clayey,7.3,2.8,29,17,25,26,770,Wheat
158,Clayey,6.2,1.6,20,16,33,26,863,Rice
159,Loamy,6.8,1.7,27,19,35,27,899,Bajra
160,Sandy,6.7,3.5,30,15,25,28,754,Bajra
161,Sandy,7.4,1.5,25,16,32,26,860,Rice
162,Sandy,7.5,2.0,29,16,30,26,804,Rice
163,Sandy,6.9,3.3,29,15,31,29,773,Wheat
164,Loamy,6.6,2.3,30,19,32,26,817,Wheat
165,Clayey,6.0,1.6,21,10,35,30,783,Bajra
166,Clayey,6.3,2.8,21,11,32,27,812,Rice
167,Clayey,6.1,1.7,21,16,31,25,797,Bajra
168,Clayey,7.0,2.1,23,18,32,25,867,Sugarcane
169,Sandy,6.2,1.8,28,13,30,26,775,Bajra
170,Loamy,6.4,3.5,27,18,28,26,796,Cotton
171,Clayey,6.6,3.3,22,13,31,26,770,Rice
172,Clayey,7.3,1.9,20,19,34,27,874,Sugarcane
173,Clayey,6.7,1.8,19,19,26,25,898,Mustard
174,Sandy,7.4,2.5,20,16,33,25,815,Wheat
175,Sandy,7.5,2.8,18,15,25,30,755,Sugarcane
176,Clayey,6.9,2.2,22,11,34,25,822,Wheat
177,Clayey,6.3,2.1,25,11,32,28,838,Cotton
178,Clayey,6.2,1.5,30,19,35,25,900,Mustard
179,Loamy,7.4,2.0,21,19,33,28,885,Mustard
180,Clayey,6.0,3.0,28,19,32,27,780,Wheat
181,Loamy,6.2,3.4,18,15,31,29,884,Bajra
182,Clayey,7.5,3.2,29,15,30,27,840,Wheat
183,Loamy,6.6,2.6,21,19,32,29,736,Rice
184,Clayey,6.5,3.1,21,19,26,27,749,Wheat
185,Clayey,6.1,1.8,19,18,27,29,748,Mustard
186,Clayey,7.0,3.2,20,11,35,29,704,Mustard
187,Loamy,6.4,2.2,25,13,33,30,868,Wheat
188,Clayey,7.1,2.8,29,14,34,30,778,Rice
189,Sandy,6.8,2.3,25,10,32,29,784,Rice
190,Clayey,6.5,3.1,25,14,32,29,710,Rice
191,Sandy,6.1,1.7,25,18,31,27,846,Wheat
192,Sandy,6.5,2.6,22,17,25,26,829,Sugarcane
193,Clayey,6.0,2.7,20,10,33,27,827,Wheat
194,Sandy,6.6,1.7,18,20,27,27,724,Sugarcane
195,Sandy,6.5,3.4,18,16,35,28,782,Sugarcane
196,Sandy,6.6,2.3,29,13,28,25,741,Wheat
197,Sandy,6.3,1.9,21,20,25,27,789,Sugarcane
198,Clayey,6.9,2.2,22,16,35,26,888,Bajra
199,Clayey,6.5,2.7,18,16,27,26,870,Wheat
200,Loamy,6.6,3.4,30,12,31,27,867,Wheat
201,Clayey,6.2,2.0,29,11,34,29,758,Rice
202,Sandy,7.5,1.6,21,10,27,28,718,Wheat
203,Clayey,6.2,1.7,19,20,27,26,734,Sugarcane
204,Loamy,6.9,2.8,20,10,34,26,732,Rice
205,Loamy,7.0,1.6,21,17,28,30,784,Cotton
206,Loamy,7.3,2.4,28,15,33,30,794,Rice
207,Clayey,6.3,3.3,24,15,27,27,812,Bajra
208,Loamy,7.4,2.9,26,11,33,27,797,Mustard
209,Loamy,6.2,2.0,21,13,35,28,701,Wheat
210,Loamy,7.1,2.4,30,20,25,25,852,Wheat
211,Clayey,7.2,2.1,27,19,29,25,836,Rice
212,Loamy,7.4,2.5,28,12,28,25,822,Wheat
213,Loamy,6.4,3.4,22,11,33,25,724,Bajra
214,Sandy,6.5,3.5,22,18,33,30,841,Sugarcane
215,Clayey,6.3,2.0,23,13,29,29,822,Cotton
216,Clayey,7.3,2.6,20,14,33,29,791,Bajra
217,Loamy,7.3,2.8,30,20,27,28,762,Wheat
218,Loamy,6.9,3.2,29,17,35,28,749,Rice
219,Clayey,6.2,2.7,30,12,34,28,794,Mustard
220,Loamy,6.3,1.5,25,20,35,28,716,Bajra
221,Loamy,6.3,3.0,26,10,33,26,765,Sugarcane
222,Loamy,6.4,1.8,20,14,30,25,745,Sugarcane
223,Clayey,6.6,2.7,21,13,34,28,892,Mustard
224,Sandy,7.2,1.9,27,19,33,28,838,Wheat
225,Clayey,7.2,1.8,21,17,26,27,819,Sugarcane
226,Sandy,7.4,2.4,27,15,33,30,712,Cotton
227,Sandy,6.0,1.9,27,16,29,29,804,Cotton
228,Sandy,6.0,2.7,22,18,31,27,886,Rice
229,Clayey,6.1,3.3,25,12,33,25,828,Rice
230,Sandy,7.0,1.7,20,17,34,27,843,Mustard
231,Sandy,6.3,1.7,28,12,29,27,715,Wheat
232,Sandy,6.1,2.6,18,10,25,28,761,Bajra
233,Sandy,6.7,1.9,27,18,35,27,843,Mustard
234,Sandy,6.7,3.0,18,19,25,27,896,Cotton
235,Loamy,7.0,2.9,23,14,29,30,807,Mustard
236,Loamy,6.1,2.6,22,11,29,26,739,Sugarcane
